strain	region	country
Belgium/rega-9604/2021	Europe	Belgium
Belgium/rega-6286/2021	Europe	Belgium
Belgium/UZA-UA-24892966/2021	Europe	Belgium
Belgium/UMONS-P01-86309-01/2021	Europe	Belgium
Belgium/UZA-UA-CV2096557188/2021	Europe	Belgium
Belgium/rega-6904/2021	Europe	Belgium
Belgium/rega-7108/2021	Europe	Belgium
Belgium/rega-7230/2021	Europe	Belgium
Belgium/ULG-15830/2021	Europe	Belgium
Belgium/rega-6285/2021	Europe	Belgium
Belgium/UZA-UA-CV2050954155/2021	Europe	Belgium
Belgium/Jessa_55-2120-000517/2021	Europe	Belgium
Belgium/UZA-UA-CV2066819113/2021	Europe	Belgium
Belgium/rega-8568/2021	Europe	Belgium
Belgium/rega-8561/2021	Europe	Belgium
Belgium/rega-8213/2021	Europe	Belgium
Belgium/UZA-UA-TDB074/2021	Europe	Belgium
Belgium/rega-3788/2021	Europe	Belgium
Belgium/rega-8039/2021	Europe	Belgium
Belgium/rega-6429/2021	Europe	Belgium
Belgium/UZA-UA-CV2108047850/2021	Europe	Belgium
Belgium/AZKLINA121-088538/2021	Europe	Belgium
Belgium/ZNA_21402905/2021	Europe	Belgium
Bolivia/21742/2021	South America	Bolivia
Bolivia/Sucre-GM2-3/2021	South America	Bolivia
Bolivia/Sucre_GM2-1/2021	South America	Bolivia
Bolivia/21719/2021	South America	Bolivia
Bolivia/21721/2021	South America	Bolivia
Bolivia/21731/2021	South America	Bolivia
Bolivia/21737/2021	South America	Bolivia
Bolivia/21720/2021	South America	Bolivia
Bolivia/21740/2021	South America	Bolivia
Bolivia/21739/2021	South America	Bolivia
Bolivia/Pando-GM2-1/2021	South America	Bolivia
Bolivia/Sucre-GM2-4/2021	South America	Bolivia
Brazil/AL-FIOCRUZ-36563/2021	South America	Brazil
Brazil/AL-FIOCRUZ-36553/2021	South America	Brazil
Brazil/SC-FIOCRUZ-34955/2021	South America	Brazil
Brazil/PR-FIOCRUZ-38062/2021	South America	Brazil
Brazil/AL-FIOCRUZ-36544/2021	South America	Brazil
Brazil/ES-FIOCRUZ-34224/2021	South America	Brazil
Brazil/AL-FIOCRUZ-36564/2021	South America	Brazil
Brazil/AL-FIOCRUZ-36562/2021	South America	Brazil
Brazil/RS-FIOCRUZ-38670/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38022/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38023/2021	South America	Brazil
Brazil/AL-FIOCRUZ-36565/2021	South America	Brazil
Brazil/RJ-LNN04300/2021	South America	Brazil
Brazil/AL-FIOCRUZ-36543/2021	South America	Brazil
Brazil/SC-FIOCRUZ-34953/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38031/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38035/2021	South America	Brazil
Brazil/RJ-LNN03447/2021	South America	Brazil
Brazil/PR-FIOCRUZ-34458/2021	South America	Brazil
Brazil/RJ-LNN03446/2021	South America	Brazil
Brazil/PR-FIOCRUZ-38064/2021	South America	Brazil
Brazil/SP-HIAE-ID343/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38040/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38037/2021	South America	Brazil
Brazil/SP-BT36821/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38038/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38018/2021	South America	Brazil
Brazil/RS-FIOCRUZ-38671/2021	South America	Brazil
Brazil/PB-FIOCRUZ-38036/2021	South America	Brazil
Brazil/AL-FIOCRUZ-36578/2021	South America	Brazil
Brazil/PR-FIOCRUZ-38065/2021	South America	Brazil
Brazil/SP-HIAE-ID340/2021	South America	Brazil
Brazil/RS-FIOCRUZ-38656/2021	South America	Brazil
