strain	region	country																				
Australia/WA960/2022	Oceania	Australia																				
Australia/WA969/2022	Oceania	Australia																				
Australia/WA971/2022	Oceania	Australia																				
Australia/WA992/2022	Oceania	Australia																				
Japan/IC-4130/2022	Asia	Japan																				
Singapore/219/2022	Asia	Singapore																				
Singapore/393/2022	Asia	Singapore																				
Singapore/472/2022	Asia	Singapore																				
Australia/WA945/2022	Oceania	Australia																				
Australia/VIC38061/2022	Oceania	Australia																				
Australia/WA1625/2022	Oceania	Australia																				
Australia/WA1577/2022	Oceania	Australia																				
Australia/WA1224/2022	Oceania	Australia																				
Australia/WA1250/2022	Oceania	Australia																				
Australia/WA1264/2022	Oceania	Australia																				
Australia/WA1280/2022	Oceania	Australia																				
Australia/WA1286/2022	Oceania	Australia																				
Australia/WA1339/2022	Oceania	Australia																				
Australia/WA1375/2022	Oceania	Australia																				
Australia/QLD38006/2022	Oceania	Australia																				
Australia/WA1395/2022	Oceania	Australia																				
Australia/WA1588/2022	Oceania	Australia																				
Australia/WA1410/2022	Oceania	Australia																				
Australia/WA1460/2022	Oceania	Australia																				
Australia/WA1477/2022	Oceania	Australia																				
Australia/WA1478/2022	Oceania	Australia																				
